Airdrie, AB (airdrie-ab), 61581, (51.28597, -114.01062)
Calgary, AB (calgary-ab), 1239220, (51.0460954, -114.065465)
Edmonton, AB (edmonton-ab), 932546, (53.535411, -113.507996)
Grande Prairie, AB (grande+prairie-ab), 63166, (55.17108, -118.7949873)
Lethbridge, AB (lethbridge-ab), 92729, (49.694285, -112.851562)
Medicine Hat, AB (medicine+hat-ab), 63260, (50.04303, -110.679016)
Red Deer, AB (red+deer-ab), 100418, (52.2697395, -113.8181766)
St. Albert, AB (st.+albert-ab), 65589, (53.633239, -113.628845)
Strathcona County, AB (strathcona+county-ab), 98044, (53.5762678, -113.1255397)
Wood Buffalo, AB (wood+buffalo-ab), 71589, (57.6527825, -111.4667003)
Anchorage, AK (anchorage-ak), 287095, (61.2163129, -149.894852)
Birmingham, AL (birmingham-al), 206950, (33.570499, -86.765783)
Huntsville, AL (huntsville-al), 202964, (33.55868, -86.802422)
Mobile, AL (mobile-al), 187746, (39.092585, -84.853229)
Montgomery, AL (montgomery-al), 196268, (33.810124, -86.809849)
Tuscaloosa, AL (tuscaloosa-al), 102819, (33.48874, -86.861648)
Little Rock, AR (little+rock-ar), 197866, (34.7465071, -92.2896267)
Chandler, AZ (chandler-az), 265398, (33.3061605, -111.84125)
Gilbert, AZ (gilbert-az), 257658, (33.3527632, -111.7890373)
Glendale, AZ (glendale-az), 255307, (33.5386858, -112.1859941)
Mesa, AZ (mesa-az), 528159, (33.4151117, -111.8314792)
Peoria, AZ (peoria-az), 179872, (33.5806115, -112.237294)
Phoenix, AZ (phoenix-az), 1708127, (33.4484367, -112.0741417)
Scottsdale, AZ (scottsdale-az), 262647, (33.4942189, -111.9260184)
Surprise, AZ (surprise-az), 147965, (33.6292271, -112.3680189)
Tempe, AZ (tempe-az), 200402, (33.4255056, -111.9400091)
Tucson, AZ (tucson-az), 553571, (32.2228765, -110.9748477)
Abbotsford, BC (abbotsford-bc), 141397, (49.0521162, -122.329479)
Burnaby, BC (burnaby-bc), 232755, (49.2433804, -122.9725459)
Chilliwack, BC (chilliwack-bc), 83788, (49.157677, -121.9514307)
Coquitlam, BC (coquitlam-bc), 139284, (49.2842958, -122.793281)
Delta, BC (delta-bc), 102238, (49.0846258, -123.0579384)
Kamloops, BC (kamloops-bc), 90280, (50.6758269, -120.339415)
Kelowna, BC (kelowna-bc), 127380, (49.8879177, -119.4959025)
Langley, BC (langley-bc), 117285, (49.098648749999995, -122.65923259915698)
Maple Ridge, BC (maple+ridge-bc), 82256, (49.2197345, -122.5997078)
Nanaimo, BC (nanaimo-bc), 90504, (49.163877, -123.938122)
New Westminster, BC (new+westminster-bc), 70996, (49.2067726, -122.9108818)
North Vancouver, BC (north+vancouver-bc), 85935, (49.3206294, -123.0737925)
Port Coquitlam, BC (port+coquitlam-bc), 58612, (49.2621643, -122.7805425)
Prince George, BC (prince+george-bc), 74003, (53.9128645, -122.7453699)
Richmond, BC (richmond-bc), 198309, (49.163168, -123.137414)
Saanich, BC (saanich-bc), 114148, (48.4594315, -123.3764946)
Surrey, BC (surrey-bc), 517887, (49.1913033, -122.8491439)
Vancouver, BC (vancouver-bc), 631486, (49.2608724, -123.113952)
Victoria, BC (victoria-bc), 85792, (48.4283182, -123.3649533)
Anaheim, CA (anaheim-ca), 353676, (33.8347516, -117.911732)
Antioch, CA (antioch-ca), 111605, (38.0049214, -121.805789)
Bakersfield, CA (bakersfield-ca), 385725, (35.3738712, -119.0194639)
Berkeley, CA (berkeley-ca), 122726, (37.8753497, -122.23963364918777)
Burbank, CA (burbank-ca), 101866, (34.1816482, -118.3258554)
Carlsbad, CA (carlsbad-ca), 115599, (33.1580933, -117.3505966)
Chico, CA (chico-ca), 102867, (39.7284945, -121.8374777)
Chula Vista, CA (chula+vista-ca), 272979, (32.6400541, -117.0841955)
Clovis, CA (clovis-ca), 117662, (36.8252277, -119.7029194)
Concord, CA (concord-ca), 128544, (37.9768525, -122.0335624)
Corona, CA (corona-ca), 170996, (33.8752945, -117.5664449)
Costa Mesa, CA (costa+mesa-ca), 112366, (33.6636611, -117.91946518435181)
Daly City, CA (daly+city-ca), 105868, (37.6904826, -122.47267)
